,att_id,att_name,att_cat,att_price,score
622,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,5.0
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,4.571322910210224
213,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,4.307403462686642
579,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.007044809395289
1192,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,3.043720246445165
1470,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,2.851105074219525
1390,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,2.391553847665536
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,2.274031996142469
1414,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.0583841093027377
1441,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.9521591723026641
586,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9297643047142172
917,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.8598937222720808
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.8287767354935165
401,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.7287517886188568
1066,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.685623966793183
473,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.675807559586593
703,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,1.5886068490119285
1303,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.5855170946124773
78,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,1.5212964323837312
1056,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.478864975659449
278,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.4355674514141084
1049,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,1.3958102707514723
870,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,1.3907221240652548
1307,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.3764115286412812
1111,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.2897550361710655
1562,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2593080813598063
594,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.2275035071912124
963,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.1861458571568908
1337,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,1.159847833916107
1189,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.10338374262765
84,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94,1.0627809757704674
1331,3315,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,recommended_experiences,149.0,1.020984440168042
