,att_id,att_name,att_cat,att_price,score
621,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,5.0
5,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,4.571324917840972
213,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,4.307403780445768
578,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.007046533829234
1191,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,3.043714778873177
1466,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,2.8511034346155526
1388,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,2.391557286175768
1411,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.058392034042589
585,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9297728318213996
917,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.859887947154935
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.8287681802170026
401,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.7287524794611409
1065,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.6856219337266483
472,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6758026466033218
702,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,1.5886023444172368
1301,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.5855126044880852
77,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,1.5212980948052341
1055,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.4788668368009188
279,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.4355665894415297
1047,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,1.3958066690842936
870,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,1.3907243980076494
1305,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.3764109437146477
1051,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.297455799786469
1110,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.2897548570842654
1558,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2593080448657505
593,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.227497767867894
962,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.1861403115245623
1336,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,1.1598482632259293
